id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,last_updated,quote_usd_price,quote_usd_volume_24h,quote_usd_volume_change_24h,quote_usd_percent_change_1h,quote_usd_percent_change_24h,quote_usd_percent_change_7d,quote_usd_percent_change_30d,quote_usd_percent_change_60d,quote_usd_percent_change_90d,quote_usd_market_cap,quote_usd_market_cap_dominance,quote_usd_fully_diluted_market_cap,quote_usd_tvl,quote_usd_last_updated,platform_id,platform_name,platform_symbol,platform_slug,platform_token_address
5567,Celo,CELO,celo,114,2020-05-22T00:00:00Z,1000000000,450833963,1000000000,82,2022-07-12T00:19:00Z,0.838016111,15276658.96,-9.4947,0.78624452,-7.49722252,-8.00021412,-18.20281219,-44.1743537,-73.91266433,377806124.4,0.0425,838016111,,2022-07-12T00:19:00Z,,,,,
8646,Mina,MINA,mina,65,2021-03-02T00:00:00Z,,583861592.8,824104972,83,2022-07-12T00:20:00Z,0.642765282,24180144.44,68.8462,-0.2530043,-3.75646135,-1.23444485,-11.06787972,-32.02411748,-73.50819657,375285961.5,0.0422,529706064.9,,2022-07-12T00:20:00Z,,,,,
6945,Amp,AMP,amp,79,2020-09-08T00:00:00Z,92547638199,42227702186,99213408535,84,2022-07-12T00:20:00Z,0.008816577,4941809.666,-46.4717,-0.04632817,-3.37912016,-6.23770002,-16.00688801,-27.043933,-62.10249329,372303791,0.0419,815953385.2,,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0xff20817765cb7f73d4bde2e66e067e58d11095c2
5692,Compound,COMP,compound,274,2020-06-16T00:00:00Z,10000000,7157897.958,10000000,85,2022-07-12T00:19:00Z,49.35662263,126833698.3,-27.6016,1.02786229,-8.0756055,0.09248091,8.05375297,-18.42873671,-62.05503834,353289668.3,0.0397,493566226.3,2694610357,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0xc00e94cb662c3520282e6f5717214004a7f26888
9903,Convex Finance,CVX,convex-finance,112,2021-05-18T00:00:00Z,100000000,64673029.37,91980788.21,86,2022-07-12T00:19:00Z,5.376072427,7687982.259,-17.1349,0.29264344,-8.30646237,13.32472802,-3.30518967,-53.52264129,-81.27445649,347686890,0.0391,537607242.7,3373687429,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
873,NEM,XEM,nem,125,2015-04-01T00:00:00Z,8999999999,8999999999,8999999999,87,2022-07-12T00:20:00Z,0.038078373,7462825.767,1.8022,0.49528558,-5.99714379,-9.29517792,-14.87731558,-8.31226111,-61.45648305,342705357.6,0.0385,342705357.6,,2022-07-12T00:20:00Z,,,,,
2694,Nexo,NEXO,nexo,79,2018-05-01T00:00:00Z,1000000000,560000011,1000000000,88,2022-07-12T00:20:00Z,0.605754712,5389515.122,-4.499,0.19926848,-2.03522005,-1.43714836,-43.51025662,-50.66386703,-74.11378158,339222645.4,0.0381,605754712,,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
7080,Gala,GALA,gala,175,2020-09-16T00:00:00Z,,6977205436,35240112493,89,2022-07-12T00:20:00Z,0.048423417,193621939.5,38.2819,0.96213913,-8.26972094,-12.62584108,-23.45982645,-27.49467388,-76.01497684,337860129.7,0.038,1706446670,,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA
2682,Holo,HOT,holo,118,2018-04-29T00:00:00Z,,1.73E+11,1.78E+11,90,2022-07-12T00:20:00Z,0.001945333,17004787.9,-6.2529,0.57491163,-5.35782363,-10.14950038,-12.02693149,-16.93804688,-61.10331295,337181704.2,0.0379,345528865.4,,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0x6c6ee5e31d828de241282b9606c8e98ea48526e2
8104,1inch Network,1INCH,1inch,241,2020-12-25T00:00:00Z,,558880063.8,1500000000,91,2022-07-12T00:19:00Z,0.58883395,37709568.75,-13.4927,-0.83900517,-8.32812884,-8.01727942,-16.09442613,-26.13909213,-61.17729573,329087555.4,0.037,883250924.6,,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0x111111111117dc0aa78b770fa6a738034120c302
2634,XDC Network,XDC,xinfin,59,2018-04-12T00:00:00Z,,12305012699,37705012699,92,2022-07-12T00:20:00Z,0.026203169,3121461.463,-27.2976,0.15346146,-1.60642841,1.06855539,-23.63380499,-37.25906539,-51.94929784,322430325.9,0.0363,987990815.5,,2022-07-12T00:20:00Z,,,,,
1168,Decred,DCR,decred,57,2016-02-10T00:00:00Z,21000000,14175891.6,14175891.6,93,2022-07-12T00:19:00Z,21.80338644,1608091.988,-0.3941,0.05725216,-5.64869046,-6.61126491,-28.28955242,-30.08761865,-60.57927011,309082442.7,0.0348,457871115.3,,2022-07-12T00:19:00Z,,,,,
4269,GateToken,GT,gatetoken,23,2019-08-20T00:00:00Z,,78362420.74,300000000,94,2022-07-12T00:20:00Z,3.894566028,1595633.696,15.344,0.07995572,-0.0264895,-4.76730201,-26.34939197,-27.08194331,-39.22909136,305187621.7,0.0343,1168369809,,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0xe66747a101bff2dba3697199dcce5b743b454759
1659,Gnosis,GNO,gnosis-gno,71,2017-05-01T00:00:00Z,10000000,2579588,3000000,95,2022-07-12T00:19:00Z,111.3306379,5735895.943,46.1944,-0.13348308,-5.20052239,-5.20260196,-31.46969963,-49.26343206,-67.75014267,287187177.6,0.0323,1113306379,22381570.5,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0x6810e776880c02933d47db1b9fc05908e5386b96
8677,Symbol,XYM,symbol,38,2021-03-03T00:00:00Z,8999999999,5582460005,7967988930,96,2022-07-12T00:20:00Z,0.050842683,1804545.035,-25.1229,-0.02435115,-1.4349537,-4.27422932,-1.89642644,-22.49415168,-55.50576667,283827245.1,0.0319,457584148.1,,2022-07-12T00:20:00Z,,,,,
1684,Qtum,QTUM,qtum,189,2017-05-24T00:00:00Z,107822406,104241950,103944501,97,2022-07-12T00:19:00Z,2.695872426,48297112.78,15.0157,0.09105258,-8.04871742,-7.31450704,-20.53411527,-24.99393346,-58.17974227,281022998.6,0.0316,290675451.2,,2022-07-12T00:19:00Z,,,,,
3801,BORA,BORA,bora,14,2019-03-18T00:00:00Z,,927500000,1205750000,98,2022-07-12T00:19:00Z,0.302135537,9866290.274,47.329,4.85617416,-1.19851119,-1.7412493,-15.24809463,0.57413823,-63.89067791,280230710.8,0.0315,364299924.1,,2022-07-12T00:19:00Z,4256,Klaytn,KLAY,klaytn,0x02cbe46fb8a1f579254a9b485788f2d86cad51aa
5647,Kadena,KDA,kadena,32,2020-05-31T00:00:00Z,1000000000,184802447.9,1000000000,99,2022-07-12T00:19:00Z,1.48039152,10955543.88,25.4045,0.15554496,-3.43965099,-4.15134242,-11.65927861,-6.40803517,-73.55854677,273579976.8,0.0308,1480391520,,2022-07-12T00:19:00Z,,,,,
2586,Synthetix,SNX,synthetix-network-token,256,2018-03-14T00:00:00Z,212424133,114841533,215258834.2,100,2022-07-12T00:20:00Z,2.338127539,56411785.64,1.3803,2.02151271,-3.34369892,-15.69082268,0.01831022,-4.85310998,-53.07384089,268514150.9,0.0302,496674715.2,,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
